,assets,income_type,policy,income_value,consumption
94,-2.631738761587144,low,-2.6985127305400414,-0.3347810082152974,-0.26110562613778177
95,-2.627167251438136,low,-2.694164319509965,-0.3347810082152974,-0.2608945152452664
96,-2.6225804673747204,low,-2.6898013799639893,-0.3347810082152974,-0.2606826990082154
97,-2.6179783583650824,low,-2.6854238633607577,-0.3347810082152974,-0.26047017506999603
98,-2.6133608732069042,low,-2.6810317209967303,-0.3347810082152974,-0.26025694106610153
99,-2.608727960526794,low,-2.676624904005644,-0.3347810082152974,-0.26004299462412384
100,-2.604079568779718,low,-2.6722033633579674,-0.3347810082152974,-0.259828333363731
101,-2.5994156462484233,low,-2.667767049860357,-0.3347810082152974,-0.25961295489663616
102,-2.5947361410428647,low,-2.6633159141551097,-0.3347810082152974,-0.25939685682657254
103,-2.5900410010996264,low,-2.6588499067196105,-0.3347810082152974,-0.2591800367492687
104,-2.585330174181344,low,-2.6543689778657855,-0.3347810082152974,-0.2589624922524205
105,-2.580603607876121,low,-2.649873077739548,-0.3347810082152974,-0.2587442209156623
106,-2.5758612495969473,low,-2.6453621563202425,-0.3347810082152974,-0.25852522031054237
107,-2.571103046581115,low,-2.6408361634200883,-0.3347810082152974,-0.2583054880004969
108,-2.5663289458896283,low,-2.6362950486836243,-0.3347810082152974,-0.25808502154081747
109,-2.5615388944066186,low,-2.631738761587144,-0.3347810082152974,-0.25786381847863193
110,-2.55673283883875,low,-2.631738761587144,-0.3347810082152974,-0.2530703662038629
111,-2.5519107257146274,low,-2.627167251438136,-0.3347810082152974,-0.2528324086308258
112,-2.5470725013842035,low,-2.6225804673747204,-0.3347810082152974,-0.2525936560155637
113,-2.542218112018179,low,-2.6179783583650824,-0.3347810082152974,-0.25235410570175265
114,-2.537347503607406,low,-2.6133608732069042,-0.3347810082152974,-0.2521137550241952
115,-2.5324606219622847,low,-2.608727960526794,-0.3347810082152974,-0.25187260130878864
116,-2.527557412712164,low,-2.604079568779718,-0.3347810082152974,-0.2516306418724965
117,-2.5226378213047322,low,-2.5994156462484233,-0.3347810082152974,-0.25138787402331664
118,-2.517701793005414,low,-2.5947361410428647,-0.3347810082152974,-0.25114429506025315
119,-2.5127492728967598,low,-2.5900410010996264,-0.3347810082152974,-0.2508999022732872
120,-2.5077802058778342,low,-2.585330174181344,-0.3347810082152974,-0.25065469294334264
121,-2.5027945366636035,low,-2.580603607876121,-0.3347810082152974,-0.25040866434226094
122,-2.4977922097843215,low,-2.5758612495969473,-0.3347810082152974,-0.250161813732769
123,-2.492773169584911,low,-2.571103046581115,-0.3347810082152974,-0.24991413836844556
124,-2.4877373602243447,low,-2.5663289458896283,-0.3347810082152974,-0.2496656354936948
125,-2.482684725675025,low,-2.5615388944066186,-0.3347810082152974,-0.2494163023437146
126,-2.4776152097221598,low,-2.55673283883875,-0.3347810082152974,-0.24916613614446437
127,-2.4725287559631366,low,-2.5519107257146274,-0.3347810082152974,-0.24891513411263588
128,-2.467425307806897,low,-2.5470725013842035,-0.3347810082152974,-0.24866329345562077
129,-2.462304808473305,low,-2.542218112018179,-0.3347810082152974,-0.24841061137148213
130,-2.4571672009925147,low,-2.537347503607406,-0.3347810082152974,-0.2481570850489181
131,-2.45201242820434,low,-2.5324606219622847,-0.3347810082152974,-0.24790271166723743
132,-2.4468404327576145,low,-2.527557412712164,-0.3347810082152974,-0.24764748839632178
133,-2.4416511571095567,low,-2.5226378213047322,-0.3347810082152974,-0.2473914123965999
134,-2.436444543525128,low,-2.517701793005414,-0.3347810082152974,-0.24713448081901168
135,-2.431220534076389,low,-2.5127492728967598,-0.3347810082152974,-0.2468766908049771
136,-2.42597907064186,low,-2.5077802058778342,-0.3347810082152974,-0.24661803948636685
137,-2.420720094905868,low,-2.5027945366636035,-0.3347810082152974,-0.2463585239854682
138,-2.415443548357903,low,-2.4977922097843215,-0.3347810082152974,-0.2460981414149539
139,-2.410149372291963,low,-2.492773169584911,-0.3347810082152974,-0.24583688887784882
140,-2.4048375078059063,low,-2.4877373602243447,-0.3347810082152974,-0.24557476346750162
141,-2.399507895800789,low,-2.482684725675025,-0.3347810082152974,-0.24531176226754603
142,-2.394160476980213,low,-2.4776152097221598,-0.3347810082152974,-0.2450478823518738
143,-2.388795191849664,low,-2.4725287559631366,-0.3347810082152974,-0.24478312078459963
144,-2.3834119807158505,low,-2.467425307806897,-0.3347810082152974,-0.24451747462002915
145,-2.378010783686039,low,-2.462304808473305,-0.3347810082152974,-0.24425094090262656
146,-2.372591540667387,low,-2.4571672009925147,-0.3347810082152974,-0.24398351666698082
147,-2.367154191366277,low,-2.45201242820434,-0.3347810082152974,-0.24371519893777327
148,-2.3616986752876423,low,-2.45201242820434,-0.3347810082152974,-0.23827398928301946
149,-2.356224931734296,low,-2.4468404327576145,-0.3347810082152974,-0.2379865953996032
150,-2.3507328998062564,low,-2.4416511571095567,-0.3347810082152974,-0.23769824130185224
151,-2.3452225184000666,low,-2.436444543525128,-0.3347810082152974,-0.2374089237815853
152,-2.339693726208117,low,-2.431220534076389,-0.3347810082152974,-0.23711863961990343
153,-2.334146461717964,low,-2.42597907064186,-0.3347810082152974,-0.23682738558715144
154,-2.3285806632116417,low,-2.420720094905868,-0.3347810082152974,-0.23653515844288453
155,-2.32299626876498,low,-2.415443548357903,-0.3347810082152974,-0.236241954935831
156,-2.317393216246911,low,-2.410149372291963,-0.3347810082152974,-0.23594777180385584
157,-2.311771443318783,low,-2.4048375078059063,-0.3347810082152974,-0.23565260577392522
158,-2.3061308874336612,low,-2.399507895800789,-0.3347810082152974,-0.23535645356206958
159,-2.3004714858356374,low,-2.394160476980213,-0.3347810082152974,-0.2350593118733486
160,-2.2947931755591267,low,-2.388795191849664,-0.3347810082152974,-0.2347611774018108
161,-2.289095893428171,low,-2.3834119807158505,-0.3347810082152974,-0.23446204683046146
162,-2.283379576055734,low,-2.378010783686039,-0.3347810082152974,-0.2341619168312219
163,-2.2776441598429944,low,-2.372591540667387,-0.3347810082152974,-0.23386078406489386
164,-2.271889580978644,low,-2.367154191366277,-0.3347810082152974,-0.233558645181124
165,-2.2661157754381716,low,-2.3616986752876423,-0.3347810082152974,-0.233255496818364
166,-2.2603226789831528,low,-2.356224931734296,-0.3347810082152974,-0.23295133560383396
167,-2.2545102271605373,low,-2.3507328998062564,-0.3347810082152974,-0.23264615815348533
168,-2.2486783553019283,low,-2.3452225184000666,-0.3347810082152974,-0.23233996107196386
169,-2.2428269985228666,low,-2.339693726208117,-0.3347810082152974,-0.2320327409525702
170,-2.2369560917221056,low,-2.334146461717964,-0.3347810082152974,-0.23172449437722342
171,-2.23106556958089,low,-2.3285806632116417,-0.3347810082152974,-0.2314152179164224
172,-2.225155366562224,low,-2.32299626876498,-0.3347810082152974,-0.23110490812920537
173,-2.2192254169101506,low,-2.317393216246911,-0.3347810082152974,-0.2307935615631198
174,-2.2132756546490095,low,-2.311771443318783,-0.3347810082152974,-0.23048117475417085
175,-2.2073060135827127,low,-2.3061308874336612,-0.3347810082152974,-0.23016774422679553
176,-2.2013164272940022,low,-2.3004714858356374,-0.3347810082152974,-0.22985326649381577
177,-2.1953068291437123,low,-2.2947931755591267,-0.3347810082152974,-0.22953773805640365
178,-2.189277152270029,low,-2.289095893428171,-0.3347810082152974,-0.2292211554040402
179,-2.183227329587747,low,-2.283379576055734,-0.3347810082152974,-0.22890351501447936
180,-2.1771572937875194,low,-2.2776441598429944,-0.3347810082152974,-0.22858481335370584
181,-2.1710669773351134,low,-2.271889580978644,-0.3347810082152974,-0.2282650468758951
182,-2.1649563124706566,low,-2.2661157754381716,-0.3347810082152974,-0.22794421202337878
183,-2.158825231207882,low,-2.2603226789831528,-0.3347810082152974,-0.22762230522659888
184,-2.152673665333376,low,-2.2545102271605373,-0.3347810082152974,-0.2272993229040745
185,-2.1465015464058137,low,-2.2486783553019283,-0.3347810082152974,-0.22697526146235525
186,-2.1403088057552013,low,-2.2428269985228666,-0.3347810082152974,-0.2266501172959865
187,-2.134095374482112,low,-2.2369560917221056,-0.3347810082152974,-0.2263238867874673
188,-2.1278611834569165,low,-2.23106556958089,-0.3347810082152974,-0.22599656630720855
189,-2.121606163319018,low,-2.225155366562224,-0.3347810082152974,-0.22566815221349845
190,-2.1153302444760778,low,-2.2192254169101506,-0.3347810082152974,-0.2253386408524527
191,-2.1090333571032396,low,-2.2132756546490095,-0.3347810082152974,-0.22500802855798252
192,-2.1027154311423573,low,-2.2073060135827127,-0.3347810082152974,-0.2246763116517485
193,-2.0963763963012108,low,-2.2013164272940022,-0.3347810082152974,-0.22434348644312196
194,-2.090016182052728,low,-2.1953068291437123,-0.3347810082152974,-0.2240095492291445
195,-2.0836347176341974,low,-2.189277152270029,-0.3347810082152974,-0.22367449629448544
196,-2.0772319320464803,low,-2.183227329587747,-0.3347810082152974,-0.22333832391139818
197,-2.0708077540532237,low,-2.1771572937875194,-0.3347810082152974,-0.22300102833968438
198,-2.064362112180066,low,-2.1710669773351134,-0.3347810082152974,-0.22266260582664898
199,-2.0578949347138407,low,-2.1649563124706566,-0.3347810082152974,-0.22232305260705587
200,-2.0514061497017813,low,-2.158825231207882,-0.3347810082152974,-0.2219823649030941
201,-2.0448956849507187,low,-2.152673665333376,-0.3347810082152974,-0.221640538924325
202,-2.0383634680262777,low,-2.1465015464058137,-0.3347810082152974,-0.221297570867649
203,-2.031809426252073,low,-2.1403088057552013,-0.3347810082152974,-0.22095345691725976
204,-2.0252334867089,low,-2.134095374482112,-0.3347810082152974,-0.22060819324460024
205,-2.0186355762339216,low,-2.1278611834569165,-0.3347810082152974,-0.22026177600832408
206,-2.012015621419857,low,-2.121606163319018,-0.3347810082152974,-0.21991420135424855
207,-2.0053735486141617,low,-2.1153302444760778,-0.3347810082152974,-0.2195654654153132
208,-1.9987092839182132,low,-2.1090333571032396,-0.3347810082152974,-0.2192155643115412
209,-1.992022753186483,low,-2.1027154311423573,-0.3347810082152974,-0.218864494149988
210,-1.9853138820257148,low,-2.0963763963012108,-0.3347810082152974,-0.21851225102470462
211,-1.978582595794097,low,-2.090016182052728,-0.3347810082152974,-0.21815883101669087
212,-1.9718288196004314,low,-2.0836347176341974,-0.3347810082152974,-0.21780423019385253
213,-1.9650524783032997,low,-2.0772319320464803,-0.3347810082152974,-0.21744844461095925
214,-1.9582534965102276,low,-2.0708077540532237,-0.3347810082152974,-0.2170914703095974
215,-1.9514317985768481,low,-2.064362112180066,-0.3347810082152974,-0.21673330331813023
216,-1.9445873086060552,low,-2.0578949347138407,-0.3347810082152974,-0.21637393965164842
